平凡社『新訂 字訓［普及版］』より
一部、日本国語大辞典と照らし合わせた。

※
用例のみからでは甲乙を確定できない拍がある語には「(?)」、
アクセント記号の省略には「*」を付けました。
大文字と小文字の区別はしていません。

SKK辞書としてではなく、綴りを調べる為の辞書としてお使いください。

*toki	時
afáygu	喘ぐ
afida	間
afité	相手
afugi	扇
agáw	顎(あご)(?)
agitaw	顎門
akatuki	暁(<明時)
akawgareru	憧れる(<あく離る)
akaybono	曙
áki	秋
akináfü	商う
akíraka	明らか
akireru	呆れる(?)
akíru	飽きる
amay	飴
ámay	雨/天
amí	網
arakazime	予め(?)
arasáwfü	争う
asagay	朝食(あさげ)
asawbu	遊ぶ
asixikuy no	あしひきの*(語源不明)
atafi	価(<能ひ)
átaw	跡
azakéru	嘲る(?)
bé	部(べ)
dojoméku	どよめく(?: メ)
gafaynzúru	肯んずる(<かへにす)
goto	毎*
gótoku	如く
ibitu	歪(<飯櫃)
idómu	挑む
idumi	泉(<出水)
ifé	家
ifizima	飯島
ikáy	池
íki	息
ikidóforu	憤る
ikifófi	勢い
ikíru	生きる
ikófü	憩う
imawftó	妹(<妹人)
inisife	古(<往にし方)
inóru	祈る(<イ宣る)
ínoti	命(<生の霊)
iró	色
isagaw	砂(いさご)
isagijáwi	潔い(<勇清し?)
isaw	磯
isáwgu	急ぐ
isawsímu	勤しむ
itawma	暇(いとま)
itawnámu	営む(<暇無む)
íto	糸(?)
itofosíi	愛おしい
itófü	厭う
itokaynái	幼い(いと気ない)(?: ト)
izajáwfü	猶予う
jádaw	宿(<家戸)
jadóru	宿る(<家取る)
jakay	宅*
jámafi	病
jámato	大和/倭(やまと)
jamawme	寡/寡婦(やもめ)(?: モ)
janaguy	柳
jasiro	社(<屋代)
jatáwfü	雇う(?)
jatukaw	奴*(やつこ)
jáw	夜(よ)
jawbu	呼ぶ
jawvái	弱い
je	柄(え)
jé	江
jeda	枝(えだ)
jeto	干支(<兄弟)
jo	節*(よ)
jó	代/世
jó	四(よ)
jodíru	攀じる(よじる)
jódo	淀
jofafi	齢(よわい)
jofi	宵(よい)(?: 「今宵」では常にヨ乙だが、「宵/朝宵」ではヨ甲とも)
jogíru	過ぎる(よぎる<避く?)(?: ヨ/ギ)
jói	良い/好い(よい)
jokáyru	避ける
joko	横
jokosima	邪(<横しま)
jóku	能く/好く(よく)
jómu	読む/詠む
jomuygáferu	蘇る(<黄泉帰る)(?: 字訓はヘ乙としているが、誤記か)
jórodu	万(よろず)
jorofi	鎧/冑(よろい)
jorokobuy	喜び
jorosíi	宜しい
joru	寄る/依る/因る
joseru	寄せる
jósi	由(よし<寄し)
josó	外/他所(よそ)
josofófü	装う(よそおう)
josófü	装う(よそう)
jukí	雪
jumáy	夢(ゆめ<いめ)
jumáyjumay	努努(ゆめゆめ)
jumí	弓
kabe	壁
kabi	穎*
kábuto	兜(?: 「カブ」は「頭」を意味するらしい)
kabuy	黴
kádaw	角(かど)
kádaw	門(かど)
kafayru	変える
kaferimíru	顧る(<返り見る)
kaferu	蛙(?)
káferu	返る/帰る/孵る
káfesu	返す
kafi	峡(かい)
káfi	貝
káfina	腕(かいな)
kagamí	鏡(<影見)
kágay	影
kagérafu	陽炎(<kagirawfuy*)
kagí	鍵(?)
kái	櫂(<掻き)
kajawfü	通う
kakáyru	翔ける
kakáyxasi	掛け橋
kakí	垣
kamadaw	竃
kámay	亀
kame	甕(かめ)(?)
kamgafáyru	考える(<処向かふ)
kamí	髪
kamí	紙(?)
kámi	上/頭(かみ)
kámi	守(かみ)
kamnagi	巫(かんなぎ*)
kámuy	神
kanafay	鼎(<金瓮)
kasawkaysi	幽けし*
kasikáwi	賢い
kasikawmáru	畏まる
kasumi	霞
katadóru	象る(<型取る)(?)
katazikaynái	忝い(かたじけない)
kaw	籠*(こ)
kaw	子
kaw	小*(こ)
káw	粉(こ)
kawbúyru	媚びる
káwfuy	恋
kawgaréru	焦がれる
káwi	濃い(肥ゆと同根?)
kawjeru	越える
kawjéru	肥える
káwku	扱く(こく)
káwma	駒(<子馬)
kawnokami	兄*(<子の上)
kay	毛
kaydamono	獣(けだもの<毛だ物)
káydasi	蓋し(<気甚し?)
kayduru	削る
kaygasu	穢す
kemuri	煙(<けぶり)(?)
kaytu	消つ*(けつ)
ke	異(け)
